n,count(DISTINCT r)
"{date:None,paperId:111026}",37
"{date:1998/1/21,paperId:9801373}",11
"{date:1999/9/22,paperId:9909479}",23
"{date:None,paperId:11194}",1
"{date:1996/10/11,paperId:9610327}",6
"{date:1997/12/18,paperId:9712443}",19
"{date:1994/11/28,paperId:9411404}",12
"{date:None,paperId:211108}",35
"{date:1996/10/28,paperId:9610506}",21
"{date:1996/11/6,paperId:9611248}",31
"{date:1999/12/23,paperId:9912485}",5
"{date:None,paperId:11382}",23
"{date:None,paperId:5118}",54
"{date:1997/4/26,paperId:9704408}",14
"{date:None,paperId:110186}",28
"{date:None,paperId:3272}",19
"{date:None,paperId:209248}",35
"{date:1993/12/7,paperId:9312243}",9
"{date:1996/5/2,paperId:9605201}",31
"{date:1995/5/29,paperId:9505405}",63
"{date:None,paperId:101291}",7
"{date:1999/8/16,paperId:9908371}",100
"{date:1993/6/1,paperId:9306207}",38
"{date:1996/10/7,paperId:9610269}",39
"{date:1995/3/27,paperId:9503450}",2
"{date:1996/2/23,paperId:9602378}",30
"{date:1998/7/20,paperId:9807422}",12
"{date:None,paperId:10048}",6
"{date:1994/11/14,paperId:9411288}",9
"{date:1997/8/17,paperId:9708377}",67
"{date:None,paperId:209187}",55
"{date:1995/10/16,paperId:9510302}",3
"{date:None,paperId:1230}",20
"{date:1994/12/28,paperId:9412377}",1
"{date:None,paperId:208092}",49
"{date:1994/6/10,paperId:9406286}",42
"{date:None,paperId:5289}",2
"{date:1995/3/17,paperId:9503366}",41
"{date:1997/12/12,paperId:9712361}",2
"{date:1997/3/2,paperId:9703211}",96
"{date:1994/9/7,paperId:9409247}",15
"{date:1995/3/13,paperId:9503313}",41
"{date:1998/10/19,paperId:9810410}",116
"{date:None,paperId:204261}",13
"{date:None,paperId:202012}",69
"{date:1999/1/14,paperId:9901301}",6
"{date:1997/3/26,paperId:9703433}",53
"{date:None,paperId:105135}",5
"{date:None,paperId:107198}",6
"{date:1994/1/21,paperId:9401303}",24
"{date:1998/3/3,paperId:9803224}",8
"{date:None,paperId:8076}",18
"{date:None,paperId:101247}",10
"{date:None,paperId:4250}",15
"{date:1995/11/20,paperId:9511377}",2
"{date:1997/12/19,paperId:9712460}",1
"{date:1997/1/23,paperId:9701360}",38
"{date:None,paperId:105106}",41
"{date:None,paperId:101166}",9
"{date:None,paperId:209277}",17
"{date:1998/12/9,paperId:9812299}",12
"{date:1999/4/20,paperId:9904405}",11
"{date:1998/1/19,paperId:9801338}",10
"{date:None,paperId:7260}",6
"{date:1993/4/13,paperId:9304250}",1
"{date:1999/12/20,paperId:9912430}",50
"{date:1997/9/1,paperId:9709202}",8
"{date:None,paperId:205153}",12
"{date:1998/1/14,paperId:9801301}",8
"{date:1993/11/25,paperId:9311365}",5
"{date:1997/6/24,paperId:9706491}",17
"{date:1997/3/4,paperId:9703231}",23
"{date:1996/2/28,paperId:9602419}",36
"{date:1998/9/10,paperId:9809324}",10
"{date:None,paperId:110341}",84
"{date:1996/12/12,paperId:9612346}",49
"{date:1999/3/5,paperId:9903274}",56
"{date:1997/4/28,paperId:9704417}",12
"{date:1997/8/22,paperId:9708435}",11
"{date:None,paperId:111315}",43
"{date:1999/4/1,paperId:9903553}",13
"{date:1996/5/7,paperId:9605242}",1
"{date:1995/6/13,paperId:9506314}",17
"{date:1999/11/9,paperId:9911289}",56
"{date:1997/10/14,paperId:9710341}",36
"{date:1997/12/18,paperId:9712436}",6
"{date:1997/11/13,paperId:9711326}",27
"{date:1995/10/31,paperId:9510452}",4
"{date:1994/5/20,paperId:9405336}",18
"{date:1998/10/8,paperId:9810297}",51
"{date:1997/10/6,paperId:9710251}",1
"{date:1999/4/18,paperId:9904379}",30
"{date:1993/11/10,paperId:9311267}",5
"{date:1995/5/9,paperId:9505262}",47
"{date:1996/9/16,paperId:9609362}",1
"{date:None,paperId:12360}",14
"{date:1997/7/26,paperId:9707482}",81
"{date:1993/12/28,paperId:9312348}",4
"{date:1993/8/6,paperId:9308238}",7
"{date:1997/4/21,paperId:9704369}",43
"{date:None,paperId:8160}",5
"{date:1997/4/11,paperId:9704307}",59
"{date:1995/10/30,paperId:9510445}",3
"{date:1993/7/15,paperId:9307279}",15
"{date:1997/8/18,paperId:9708393}",88
"{date:None,paperId:301043}",15
"{date:1994/5/29,paperId:9405408}",1
"{date:1997/12/22,paperId:9712475}",9
"{date:1997/6/25,paperId:9706510}",19
"{date:1998/8/24,paperId:9808395}",4
"{date:1998/8/31,paperId:9808489}",28
"{date:None,paperId:212254}",30
"{date:1992/10/26,paperId:9210262}",32
"{date:None,paperId:2037}",2
"{date:None,paperId:302009}",5
"{date:None,paperId:104175}",11
"{date:None,paperId:206196}",23
"{date:None,paperId:104149}",13
"{date:1996/11/30,paperId:9612215}",3
"{date:None,paperId:3184}",115
"{date:1994/6/18,paperId:9406338}",18
"{date:1999/7/28,paperId:9907537}",6
"{date:1992/11/17,paperId:9211262}",26
"{date:1998/8/6,paperId:9808249}",10
"{date:None,paperId:103298}",8
"{date:1998/7/21,paperId:9807438}",3
"{date:None,paperId:201011}",30
"{date:None,paperId:3326}",47
"{date:1996/9/30,paperId:9609523}",8
"{date:1994/6/3,paperId:9406223}",1
"{date:1999/9/9,paperId:9909306}",15
"{date:None,paperId:203099}",43
"{date:1998/5/27,paperId:9805487}",13
"{date:None,paperId:10187}",9
"{date:None,paperId:111389}",21
"{date:1998/6/10,paperId:9806330}",59
"{date:None,paperId:206198}",14
"{date:1999/1/25,paperId:9901405}",30
"{date:None,paperId:201222}",2
"{date:1994/6/10,paperId:9406275}",12
"{date:None,paperId:209377}",40
"{date:1998/12/14,paperId:9812350}",13
"{date:None,paperId:201188}",16
"{date:1999/6/10,paperId:9906330}",16
"{date:1997/10/27,paperId:9710490}",3
"{date:None,paperId:1198}",2
"{date:1995/3/2,paperId:9503216}",26
"{date:1998/2/20,paperId:9802384}",14
"{date:1996/7/17,paperId:9607353}",15
"{date:None,paperId:11108}",3
"{date:None,paperId:6326}",27
"{date:None,paperId:109102}",23
"{date:1995/1/27,paperId:9501391}",3
"{date:None,paperId:201018}",24
"{date:1996/10/14,paperId:9610344}",12
"{date:None,paperId:7036}",12
"{date:1994/5/19,paperId:9405329}",22
"{date:1994/1/20,paperId:9401301}",12
"{date:1995/6/22,paperId:9506389}",6
"{date:1996/6/19,paperId:9606379}",9
"{date:1995/6/29,paperId:9506454}",37
"{date:1998/6/25,paperId:9806487}",13
"{date:None,paperId:9215}",17
"{date:1998/8/25,paperId:9808412}",88
"{date:1998/1/20,paperId:9801359}",18
"{date:1999/5/6,paperId:9905257}",5
"{date:1998/9/15,paperId:9809385}",4
"{date:1997/11/17,paperId:9711345}",11
"{date:1996/10/15,paperId:9610364}",32
"{date:1995/11/1,paperId:9510460}",14
"{date:1994/2/26,paperId:9402358}",27
"{date:1997/10/10,paperId:9710314}",40
"{date:1998/5/20,paperId:9805405}",48
"{date:1998/11/18,paperId:9811382}",56
"{date:None,paperId:12146}",3
"{date:1996/10/15,paperId:9610363}",38
"{date:1996/6/17,paperId:9606346}",37
"{date:None,paperId:5087}",3
"{date:1995/2/9,paperId:9502263}",31
"{date:1999/8/6,paperId:9908290}",26
"{date:1996/7/26,paperId:9607444}",17
"{date:None,paperId:2097}",12
"{date:1994/8/10,paperId:9408262}",52
"{date:1997/8/11,paperId:9708303}",30
"{date:None,paperId:204139}",19
"{date:None,paperId:3057}",10
"{date:1999/8/26,paperId:9908478}",2
"{date:1995/9/29,paperId:9509423}",116
"{date:None,paperId:212325}",27
"{date:None,paperId:207063}",5
"{date:1993/10/4,paperId:9310217}",9
"{date:1998/8/5,paperId:9808227}",14
"{date:1996/10/18,paperId:9610408}",55
"{date:None,paperId:11242}",20
"{date:1998/8/30,paperId:9808476}",1
"{date:None,paperId:207091}",13
"{date:None,paperId:110251}",23
"{date:None,paperId:301138}",44
"{date:None,paperId:211371}",12
"{date:1995/3/30,paperId:9503472}",1
"{date:1997/10/2,paperId:9710219}",8
"{date:None,paperId:207220}",27
"{date:None,paperId:4147}",3
"{date:None,paperId:101210}",10
"{date:None,paperId:8095}",6
"{date:None,paperId:206264}",13
"{date:1998/7/2,paperId:9807220}",19
"{date:1994/7/25,paperId:9407370}",7
"{date:1996/11/26,paperId:9611431}",5
"{date:None,paperId:11237}",40
"{date:1997/1/7,paperId:9701232}",4
"{date:1994/8/30,paperId:9408393}",2
"{date:None,paperId:7276}",44
"{date:None,paperId:210258}",29
"{date:None,paperId:211025}",28
"{date:1994/12/9,paperId:9412266}",29
"{date:1995/2/20,paperId:9502349}",22
"{date:1994/7/12,paperId:9407282}",18
"{date:1997/3/26,paperId:9703435}",17
"{date:1994/12/5,paperId:9412231}",10
"{date:1993/1/14,paperId:9301238}",4
"{date:1997/9/17,paperId:9709376}",67
"{date:None,paperId:103300}",37
"{date:1996/3/16,paperId:9603318}",25
"{date:1997/12/28,paperId:9712530}",25
"{date:1995/8/1,paperId:9507469}",7
"{date:1996/8/23,paperId:9608430}",132
"{date:None,paperId:201080}",22
"{date:1992/8/19,paperId:9208233}",31
"{date:1995/8/7,paperId:9508255}",32
"{date:1995/9/21,paperId:9509355}",48
"{date:1996/7/16,paperId:9607336}",15
"{date:1998/5/1,paperId:9805204}",10
"{date:None,paperId:209225}",15
"{date:1996/9/23,paperId:9609442}",17
"{date:None,paperId:9228}",63
"{date:1999/2/26,paperId:9902471}",41
"{date:None,paperId:4115}",133
"{date:None,paperId:6025}",12
"{date:None,paperId:8116}",15
"{date:1992/12/10,paperId:9212251}",1
"{date:1997/2/10,paperId:9702298}",30
"{date:None,paperId:103088}",75
"{date:None,paperId:107295}",35
"{date:1998/11/30,paperId:9811511}",2
"{date:1996/5/8,paperId:9605254}",4
"{date:1994/3/30,paperId:9403398}",85
"{date:None,paperId:7109}",44
"{date:1994/11/11,paperId:9411272}",15
"{date:None,paperId:6285}",7
"{date:None,paperId:205249}",48
"{date:1997/3/18,paperId:9703351}",87
"{date:1998/3/20,paperId:9803400}",49
"{date:1998/2/18,paperId:9802349}",5
"{date:1994/10/6,paperId:9410242}",21
"{date:1998/12/1,paperId:9812205}",124
"{date:1998/4/7,paperId:9804245}",3
"{date:1995/10/13,paperId:9510289}",33
"{date:None,paperId:102263}",4
"{date:1998/5/10,paperId:9805271}",12
"{date:1997/6/25,paperId:9706499}",16
"{date:None,paperId:210158}",3
"{date:1995/1/6,paperId:9501228}",32
"{date:None,paperId:4149}",12
"{date:None,paperId:205238}",14
"{date:1998/8/29,paperId:9808472}",7
"{date:None,paperId:1223}",3
"{date:None,paperId:6353}",20
"{date:1997/6/11,paperId:9706327}",6
"{date:1996/8/19,paperId:9608371}",12
"{date:None,paperId:202059}",6
"{date:None,paperId:105249}",18
"{date:None,paperId:12281}",16
"{date:1992/12/31,paperId:9212316}",3
"{date:None,paperId:3015}",5
"{date:None,paperId:102325}",8
"{date:1998/11/27,paperId:9811488}",3
"{date:1998/12/14,paperId:9812355}",24
"{date:1999/5/10,paperId:9905287}",30
"{date:None,paperId:302193}",24
"{date:1996/5/8,paperId:9605247}",5
"{date:1998/8/7,paperId:9808262}",38
"{date:None,paperId:107052}",35
"{date:1998/9/28,paperId:9809557}",20
"{date:None,paperId:9159}",15
"{date:1997/7/10,paperId:9707307}",17
"{date:1996/6/13,paperId:9606320}",6
"{date:1999/3/11,paperId:9903328}",52
"{date:1999/6/15,paperId:9906372}",9
"{date:None,paperId:4198}",5
"{date:None,paperId:207336}",17
"{date:None,paperId:103052}",36
"{date:1995/4/20,paperId:9504346}",1
"{date:1997/8/1,paperId:9708201}",51
"{date:1999/12/18,paperId:9912410}",19
"{date:1998/11/24,paperId:9811451}",22
"{date:None,paperId:206163}",30
"{date:None,paperId:202276}",7
"{date:1996/2/19,paperId:9602341}",22
"{date:None,paperId:103273}",9
"{date:1998/7/13,paperId:9807350}",45
"{date:1997/10/21,paperId:9710426}",44
"{date:1999/7/30,paperId:9907570}",13
"{date:None,paperId:6310}",14
"{date:1997/7/11,paperId:9707317}",12
"{date:1999/6/3,paperId:9906232}",45
"{date:1997/11/24,paperId:9711439}",18
"{date:None,paperId:209035}",29
"{date:1999/3/23,paperId:9903454}",85
"{date:None,paperId:111195}",28
"{date:1992/5/26,paperId:9205235}",19
"{date:1997/11/26,paperId:9711486}",24
"{date:None,paperId:107214}",19
"{date:1992/12/22,paperId:9212301}",47
"{date:1998/4/28,paperId:9804437}",16
"{date:None,paperId:208110}",13
"{date:1999/7/26,paperId:9907501}",21
"{date:1999/3/3,paperId:9903248}",8
"{date:1999/6/2,paperId:9906217}",3
"{date:None,paperId:106345}",45
"{date:1992/6/30,paperId:9206266}",60
"{date:None,paperId:12379}",29
"{date:1997/5/19,paperId:9705356}",82
"{date:1998/5/8,paperId:9805258}",7
"{date:1995/9/6,paperId:9509239}",58
"{date:None,paperId:2217}",9
"{date:None,paperId:8056}",28
"{date:1997/9/4,paperId:9709243}",73
"{date:None,paperId:106238}",1
"{date:1999/5/20,paperId:9905422}",70
"{date:1996/4/15,paperId:9604320}",128
"{date:None,paperId:112153}",9
"{date:1998/10/30,paperId:9810544}",6
"{date:1999/2/1,paperId:9902203}",11
"{date:None,paperId:211455}",5
"{date:None,paperId:9036}",40
"{date:1996/5/13,paperId:9605290}",5
"{date:None,paperId:206040}",15
"{date:1995/12/26,paperId:9512422}",1
"{date:1996/5/27,paperId:9605412}",42
"{date:None,paperId:212136}",101
"{date:None,paperId:110238}",19
"{date:None,paperId:8282}",4
"{date:1999/9/13,paperId:9909347}",12
"{date:None,paperId:8300}",38
"{date:None,paperId:112183}",10
"{date:None,paperId:102119}",24
"{date:None,paperId:106215}",1
"{date:1998/10/29,paperId:9810516}",20
"{date:None,paperId:205340}",32
"{date:1994/8/12,paperId:9408279}",8
"{date:1999/7/8,paperId:9907274}",7
"{date:None,paperId:1291}",6
"{date:1996/9/11,paperId:9609320}",22
"{date:None,paperId:102158}",21
"{date:1994/9/27,paperId:9409428}",18
"{date:None,paperId:201055}",29
"{date:1998/8/27,paperId:9808438}",16
"{date:1998/2/9,paperId:9802275}",17
"{date:1998/9/8,paperId:9809300}",10
"{date:None,paperId:207171}",6
"{date:None,paperId:203055}",31
"{date:1995/4/19,paperId:9504332}",28
"{date:1992/6/4,paperId:9206208}",1
"{date:1996/11/18,paperId:9611348}",4
"{date:None,paperId:108081}",2
"{date:1997/11/28,paperId:9711509}",13
"{date:1999/3/17,paperId:9903388}",31
"{date:1995/11/29,paperId:9511455}",31
"{date:1999/1/21,paperId:9901375}",13
"{date:1993/12/13,paperId:9312269}",13
"{date:1999/10/21,paperId:9910426}",11
"{date:1999/6/7,paperId:9906277}",38
"{date:1999/9/21,paperId:9909448}",50
"{date:None,paperId:211074}",25
"{date:1998/10/15,paperId:9810376}",14
"{date:None,paperId:111003}",54
"{date:1997/11/14,paperId:9711338}",15
"{date:1997/6/4,paperId:9706252}",29
"{date:None,paperId:211370}",83
"{date:None,paperId:7350}",28
"{date:1994/5/18,paperId:9405314}",15
"{date:1996/12/27,paperId:9612478}",11
"{date:1992/12/10,paperId:9212248}",64
"{date:None,paperId:104021}",9
"{date:1999/1/16,paperId:9901329}",26
"{date:None,paperId:207099}",1
"{date:1996/5/20,paperId:9605357}",74
"{date:1993/1/15,paperId:9301242}",18
"{date:1999/3/24,paperId:9903477}",24
"{date:None,paperId:210424}",35
"{date:None,paperId:11143}",38
"{date:1994/2/8,paperId:9402252}",16
"{date:1995/4/7,paperId:9504258}",1
"{date:1996/11/4,paperId:9611229}",38
"{date:1994/10/7,paperId:9410246}",4
"{date:None,paperId:101096}",10
"{date:None,paperId:108224}",90
"{date:1997/6/9,paperId:9706303}",54
"{date:1997/9/2,paperId:9709216}",1
"{date:1994/3/15,paperId:9403288}",20
"{date:1993/11/19,paperId:9311316}",41
"{date:None,paperId:212296}",22
"{date:None,paperId:2090}",8
"{date:1992/11/24,paperId:9211302}",40
"{date:None,paperId:101175}",9
"{date:1998/1/7,paperId:9801230}",30
"{date:None,paperId:212384}",43
"{date:None,paperId:203024}",43
"{date:1999/5/10,paperId:9905292}",96
"{date:1995/10/5,paperId:9510233}",6
"{date:None,paperId:11294}",4
"{date:None,paperId:211405}",5
"{date:1997/12/17,paperId:9712414}",9
"{date:None,paperId:203172}",20
"{date:1995/6/4,paperId:9506234}",6
"{date:None,paperId:212096}",1
"{date:None,paperId:206089}",2
"{date:None,paperId:102217}",7
"{date:1994/11/25,paperId:9411393}",12
"{date:None,paperId:110299}",14
"{date:1994/6/1,paperId:9406209}",10
"{date:None,paperId:101283}",8
"{date:1998/8/17,paperId:9808342}",14
"{date:1998/12/22,paperId:9812477}",4
"{date:None,paperId:111049}",26
"{date:None,paperId:106326}",19
"{date:None,paperId:204039}",9
"{date:None,paperId:209127}",50
"{date:1992/11/20,paperId:9211288}",1
"{date:1999/11/9,paperId:9911291}",23
"{date:1995/2/28,paperId:9502413}",7
"{date:None,paperId:206241}",53
"{date:None,paperId:1147}",12
"{date:1997/9/3,paperId:9709238}",12
"{date:1998/10/30,paperId:9810551}",32
"{date:None,paperId:5098}",16
"{date:None,paperId:201081}",57
"{date:None,paperId:109159}",14
"{date:1998/5/5,paperId:9805228}",22
"{date:None,paperId:1196}",27
"{date:None,paperId:105220}",28
"{date:1996/7/11,paperId:9607293}",26
"{date:None,paperId:207254}",15
"{date:1992/9/4,paperId:9209213}",42
"{date:1999/5/5,paperId:9905246}",56
"{date:1998/5/28,paperId:9805496}",36
"{date:None,paperId:103244}",16
"{date:1994/5/18,paperId:9405320}",100
"{date:1995/1/23,paperId:9501356}",22
"{date:1994/11/29,paperId:9411433}",24
"{date:None,paperId:102265}",106
"{date:1994/9/20,paperId:9409361}",19
"{date:None,paperId:207029}",5
"{date:1996/12/30,paperId:9612490}",39
"{date:1998/9/27,paperId:9809553}",22
"{date:None,paperId:6008}",6
"{date:None,paperId:108171}",22
"{date:1998/11/5,paperId:9811255}",17
"{date:None,paperId:107188}",9
"{date:1999/12/28,paperId:9912522}",3
"{date:None,paperId:110336}",7
"{date:1996/12/18,paperId:9612397}",70
"{date:None,paperId:3221}",65
"{date:None,paperId:112316}",7
"{date:1993/5/3,paperId:9305206}",79
"{date:None,paperId:210344}",2
"{date:1997/10/6,paperId:9710253}",10
"{date:1992/4/14,paperId:9204222}",26
"{date:None,paperId:111366}",9
"{date:None,paperId:105219}",1
"{date:1996/6/6,paperId:9606260}",88
"{date:None,paperId:205004}",1
"{date:None,paperId:208131}",5
"{date:None,paperId:12125}",109
"{date:1998/9/29,paperId:9809574}",34
"{date:None,paperId:211430}",9
"{date:1996/8/26,paperId:9608436}",4
"{date:None,paperId:12094}",17
"{date:None,paperId:208033}",9
"{date:None,paperId:202234}",6
"{date:None,paperId:201057}",2
"{date:1997/1/21,paperId:9701335}",3
"{date:None,paperId:206141}",18
"{date:1996/11/15,paperId:9611339}",6
"{date:None,paperId:7126}",16
"{date:None,paperId:7184}",16
"{date:1996/9/9,paperId:9609294}",3
"{date:None,paperId:107314}",24
"{date:None,paperId:106320}",14
"{date:None,paperId:6112}",2
"{date:None,paperId:210115}",14
"{date:None,paperId:1238}",3
"{date:None,paperId:212348}",54
"{date:None,paperId:12016}",4
"{date:1999/8/16,paperId:9908367}",5
"{date:1999/1/5,paperId:9901221}",33
"{date:None,paperId:103260}",11
"{date:1999/11/1,paperId:9910560}",13
"{date:None,paperId:204036}",6
"{date:None,paperId:2215}",16
"{date:None,paperId:111270}",12
"{date:1997/7/25,paperId:9707465}",11
"{date:1993/5/29,paperId:9305347}",3
"{date:1997/10/8,paperId:9710279}",16
"{date:1998/4/17,paperId:9804323}",18
"{date:1997/8/18,paperId:9708388}",14
"{date:None,paperId:103175}",19
"{date:1998/3/20,paperId:9803399}",23
"{date:1998/10/21,paperId:9810437}",20
"{date:1999/5/24,paperId:9905458}",11
"{date:1994/2/19,paperId:9402321}",18
"{date:1994/7/6,paperId:9407235}",7
"{date:None,paperId:11234}",47
"{date:1999/9/21,paperId:9909455}",20
"{date:1995/2/22,paperId:9502373}",11
"{date:1999/5/26,paperId:9905498}",16
"{date:1997/5/20,paperId:9705362}",7
"{date:1997/7/7,paperId:9707269}",41
"{date:1998/8/24,paperId:9808394}",3
"{date:1999/10/11,paperId:9910296}",41
"{date:1999/10/4,paperId:9910216}",5
"{date:1999/8/5,paperId:9908274}",12
"{date:1994/3/10,paperId:9403266}",133
"{date:1994/1/20,paperId:9401298}",18
"{date:1998/6/1,paperId:9806211}",12
"{date:1997/11/28,paperId:9711514}",80
"{date:1994/6/8,paperId:9406252}",25
"{date:1997/5/18,paperId:9705345}",39
"{date:1994/10/22,paperId:9410349}",9
"{date:1995/4/6,paperId:9504240}",3
"{date:1999/7/23,paperId:9907463}",5
"{date:1999/4/20,paperId:9904404}",147
"{date:None,paperId:102035}",11
"{date:1997/1/14,paperId:9701288}",5
"{date:1995/10/11,paperId:9510276}",4
"{date:1998/10/28,paperId:9810508}",3
"{date:1996/7/5,paperId:9607250}",33
"{date:1992/10/12,paperId:9210229}",31
"{date:None,paperId:6058}",1
"{date:1995/12/11,paperId:9512295}",10
"{date:None,paperId:206082}",16
"{date:None,paperId:102175}",17
"{date:1995/8/5,paperId:9508245}",9
"{date:1998/4/2,paperId:9804220}",4
"{date:None,paperId:106349}",3
"{date:None,paperId:110234}",12
"{date:1996/1/12,paperId:9601250}",3
"{date:1998/1/2,paperId:9801208}",86
"{date:None,paperId:207156}",22
"{date:1999/5/27,paperId:9905526}",32
"{date:None,paperId:10120}",1
"{date:None,paperId:209018}",58
"{date:None,paperId:111362}",80
"{date:1994/1/11,paperId:9401240}",3
"{date:None,paperId:211346}",19
"{date:1995/4/1,paperId:9503492}",131
"{date:1994/2/7,paperId:9402245}",2
"{date:1995/9/26,paperId:9509390}",4
"{date:1998/9/15,paperId:9809392}",3
"{date:None,paperId:103331}",40
"{date:None,paperId:210381}",28
"{date:1995/2/10,paperId:9502268}",8
"{date:1997/7/31,paperId:9707539}",5
"{date:None,paperId:211331}",174
"{date:1995/3/8,paperId:9503269}",11
"{date:None,paperId:210199}",10
"{date:1999/3/15,paperId:9903354}",50
"{date:1998/7/21,paperId:9807440}",15
"{date:None,paperId:4236}",14
"{date:None,paperId:211231}",4
"{date:1999/7/6,paperId:9907256}",3
"{date:None,paperId:204289}",5
"{date:None,paperId:212113}",51
"{date:1994/10/20,paperId:9410332}",9
"{date:1994/11/29,paperId:9411430}",8
"{date:None,paperId:11387}",53
"{date:1995/11/1,paperId:9511203}",7
"{date:None,paperId:110224}",7
"{date:1997/6/5,paperId:9706256}",1
"{date:1998/4/16,paperId:9804302}",16
"{date:1995/9/28,paperId:9509414}",18
"{date:None,paperId:12321}",38
"{date:1992/5/29,paperId:9205247}",57
"{date:None,paperId:210005}",17
"{date:None,paperId:7351}",31
"{date:1996/10/11,paperId:9610333}",35
"{date:1994/12/5,paperId:9412239}",17
"{date:1999/11/4,paperId:9911235}",24
"{date:1999/3/16,paperId:9903363}",120
"{date:1999/7/16,paperId:9907388}",10
"{date:1999/12/29,paperId:9912533}",2
"{date:1998/3/13,paperId:9803341}",15
"{date:1999/6/15,paperId:9906369}",9
"{date:1996/3/11,paperId:9603266}",52
"{date:None,paperId:1231}",25
"{date:1996/5/28,paperId:9605420}",9
"{date:1994/11/12,paperId:9411281}",5
"{date:None,paperId:3237}",2
"{date:None,paperId:4083}",21
"{date:1996/12/28,paperId:9612479}",17
"{date:None,paperId:206097}",2
"{date:1995/4/17,paperId:9504316}",256
"{date:1999/10/6,paperId:9910247}",47
"{date:None,paperId:205193}",30
"{date:1997/9/10,paperId:9709304}",15
"{date:1995/10/26,paperId:9510417}",14
"{date:None,paperId:210018}",11
"{date:1995/1/16,paperId:9501311}",19
"{date:1997/4/8,paperId:9704259}",25
"{date:None,paperId:210338}",2
"{date:1997/2/14,paperId:9702339}",29
"{date:1993/5/26,paperId:9305318}",1
"{date:None,paperId:103048}",126
"{date:None,paperId:203208}",22
"{date:1996/9/27,paperId:9609506}",2
"{date:1997/6/5,paperId:9706260}",97
"{date:None,paperId:9268}",13
"{date:None,paperId:201063}",18
"{date:None,paperId:208148}",8
"{date:None,paperId:103283}",1
"{date:None,paperId:2063}",45
"{date:1998/5/26,paperId:9805459}",4
"{date:1998/10/1,paperId:9810203}",6
"{date:None,paperId:210063}",3
"{date:None,paperId:202243}",4
"{date:1998/8/17,paperId:9808339}",6
"{date:1996/12/30,paperId:9612486}",8
"{date:None,paperId:11085}",6
"{date:1994/6/7,paperId:9406247}",6
"{date:1999/9/13,paperId:9909340}",4
"{date:None,paperId:212038}",14
"{date:1997/9/8,paperId:9709277}",15
"{date:1994/6/24,paperId:9406387}",6
"{date:1999/2/10,paperId:9902296}",5
"{date:1997/11/30,paperId:9712209}",42
"{date:None,paperId:210092}",16
"{date:1996/11/2,paperId:9611215}",16
"{date:None,paperId:201085}",2
"{date:1993/2/17,paperId:9302264}",1
"{date:1995/4/19,paperId:9504336}",41
"{date:None,paperId:211155}",21
"{date:1999/3/22,paperId:9903429}",9
"{date:None,paperId:108130}",3
"{date:1999/5/26,paperId:9905497}",8
"{date:None,paperId:104264}",32
"{date:1998/6/3,paperId:9806250}",17
"{date:1999/8/24,paperId:9908456}",33
"{date:None,paperId:108054}",28
"{date:None,paperId:203010}",4
"{date:None,paperId:104069}",11
"{date:1998/2/10,paperId:9802291}",34
"{date:None,paperId:7125}",9
"{date:1996/6/19,paperId:9606371}",12
"{date:None,paperId:208035}",34
"{date:None,paperId:11330}",34
"{date:1996/8/14,paperId:9608320}",16
"{date:None,paperId:12142}",52
"{date:None,paperId:210127}",26
"{date:1992/10/7,paperId:9210219}",29
"{date:None,paperId:205296}",9
"{date:1995/10/27,paperId:9510425}",17
"{date:1997/10/6,paperId:9710255}",71
"{date:1999/9/24,paperId:9909506}",74
"{date:1998/4/2,paperId:9804215}",39
"{date:1995/9/21,paperId:9509353}",41
"{date:None,paperId:205067}",51
"{date:None,paperId:11197}",16
"{date:1996/5/29,paperId:9605431}",159
"{date:1997/4/7,paperId:9704255}",61
"{date:1999/11/21,paperId:9911426}",44
"{date:1997/2/20,paperId:9702373}",37
"{date:None,paperId:203157}",1
"{date:1997/6/24,paperId:9706489}",28
"{date:1996/11/21,paperId:9611382}",8
"{date:1996/11/4,paperId:9611222}",4
"{date:1996/11/1,paperId:9611205}",3
"{date:1999/12/23,paperId:9912494}",44
"{date:1999/5/21,paperId:9905437}",167
"{date:1999/12/21,paperId:9912440}",10
"{date:None,paperId:3304}",22
"{date:1999/6/25,paperId:9906497}",18
"{date:1995/12/19,paperId:9512349}",6
"{date:1999/1/29,paperId:9901449}",4
"{date:1995/12/15,paperId:9512327}",42
"{date:None,paperId:9157}",12
"{date:1993/4/5,paperId:9304218}",20
"{date:1994/4/20,paperId:9404309}",3
"{date:1994/7/19,paperId:9407334}",6
"{date:1996/8/20,paperId:9608380}",4
"{date:1997/10/20,paperId:9710412}",1
"{date:1999/4/1,paperId:9904207}",15
"{date:None,paperId:110223}",16
"{date:1999/9/14,paperId:9909366}",12
"{date:1998/12/1,paperId:9812208}",1
"{date:1998/3/31,paperId:9803496}",15
"{date:None,paperId:210326}",27
"{date:1995/4/11,paperId:9504289}",3
"{date:1995/9/15,paperId:9509310}",9
"{date:None,paperId:5002}",3
"{date:None,paperId:101277}",38
"{date:None,paperId:5213}",12
"{date:1992/5/7,paperId:9205208}",1
"{date:1999/8/5,paperId:9908273}",4
"{date:1997/9/4,paperId:9709247}",26
"{date:1998/7/17,paperId:9807410}",3
"{date:None,paperId:5122}",96
"{date:1997/6/27,paperId:9706527}",5
"{date:None,paperId:207165}",18
"{date:1999/11/9,paperId:9911281}",8
"{date:None,paperId:204120}",9
